av_odd_h,av_odd_d,av_odd_g,av_prob_h,av_prob_d,av_prob_g,av_back,bf_odd_h,bf_odd_d,bf_odd_g,bf_prob_h,bf_prob_d,bf_prob_g,bf_back,volume_h,volume_d,volume_g,vol_ratio_h,vol_ratio_d,vol_ratio_g,shui_h,pan,shui_g,profit_h,profit_d,profit_g,pf_idx_h,pf_idx_d,pf_idx_g,hot_idx_h,hot_idx_d,hot_idx_g,qj,qs,kwin,win_cv_0,draw_cv_0,lost_cv_0,win_cv_9,draw_cv_9,lost_cv_9
3.16,3.13,2.41,30.12,30.41,39.46,95.16,3.4,3.3,2.52,29.59,30.49,39.92,100.61,177898.0,178193.0,409150.0,23.2,23.3,53.5,0.775,0.0,1.075,160388.0,177204.0,-265817.0,21.0,23.0,-35.0,-23.0,-23.0,36.0,2.0,1.0,3.0,6.536,4.579,7.978,7.338,2.739,5.245
1.06,13.66,32.48,90.11,6.96,2.93,95.07,1.08,21.0,50.0,93.19,4.79,2.01,100.65,4247386.0,90513.0,39008.0,97.0,2.1,0.9,1.1,3.0,0.75,-210270.0,2476134.0,2426507.0,-5.0,57.0,56.0,8.0,-70.0,-70.0,8.0,2.0,3.0,1.657,18.077,23.215,1.327,14.549,23.315
2.82,3.38,2.49,33.75,28.09,38.16,95.09,2.98,3.65,2.58,33.65,27.48,38.87,100.28,477140.0,498444.0,449666.0,33.5,35.0,31.5,0.825,0.0,1.025,3373.0,-394071.0,265112.0,0.0,-28.0,19.0,-1.0,24.0,-17.0,1.0,0.0,3.0,4.741,6.349,4.487,4.555,4.744,4.218
3.15,3.41,2.26,30.13,27.81,42.05,94.91,3.35,3.75,2.3,29.85,26.67,43.48,100.0,208070.0,80020.0,362164.0,32.0,12.3,55.7,0.975,-0.25,0.875,-46780.0,350179.0,-182723.0,-7.0,54.0,-28.0,6.0,-56.0,32.0,1.0,1.0,1.0,5.998,3.627,3.895,4.542,3.869,3.165
2.35,3.36,3.05,40.5,28.28,31.22,95.07,2.42,3.55,3.3,41.41,28.23,30.37,100.21,1033909.0,532325.0,404438.0,52.5,27.0,20.5,1.075,0.25,0.775,-531388.0,80918.0,636027.0,-27.0,4.0,32.0,30.0,-4.0,-34.0,0.0,1.0,0.0,3.59,3.816,6.908,4.463,3.456,5.773
1.41,4.13,10.56,67.8,23.15,9.05,95.6,1.42,4.4,14.5,70.39,22.72,6.89,99.95,2621062.0,378694.0,170596.0,82.7,11.9,5.4,1.05,1.25,0.8,-551556.0,1504098.0,696710.0,-17.0,47.0,22.0,22.0,-48.0,-41.0,1.0,1.0,1.0,3.033,11.196,14.035,6.063,8.822,20.401
7.69,5.03,1.38,12.33,18.84,68.83,94.83,9.0,5.6,1.41,11.12,17.88,71.0,100.08,167853.0,176612.0,2185068.0,6.6,7.0,86.4,1.025,-1.25,0.825,1018856.0,1540506.0,-551413.0,40.0,61.0,-22.0,-46.0,-63.0,25.0,1.0,2.0,0.0,9.558,7.857,1.994,10.847,5.197,2.321
1.69,3.98,4.72,56.04,23.85,20.11,94.88,1.73,4.2,5.3,57.53,23.7,18.78,99.53,714005.0,75084.0,200903.0,72.1,7.6,20.3,1.1,0.75,0.75,-245237.0,674639.0,-74794.0,-25.0,68.0,-8.0,29.0,-68.0,1.0,0.0,0.0,1.0,4.225,4.826,8.998,2.347,4.598,4.874
6.01,4.36,1.52,15.8,21.76,62.44,94.95,6.4,4.7,1.56,15.47,21.07,63.47,99.01,844170.0,775309.0,5591937.0,11.7,10.8,77.5,0.85,-0.75,1.0,1808728.0,3567464.0,-1512006.0,25.0,49.0,-21.0,-26.0,-51.0,24.0,1.0,1.0,1.0,8.611,6.099,3.46,7.96,4.63,3.711
2.98,3.12,2.53,31.91,30.49,37.6,94.97,3.1,3.35,2.66,32.35,29.94,37.71,100.29,342503.0,217166.0,1007622.0,21.9,13.9,64.3,0.875,0.0,0.975,505532.0,839785.0,-1112984.0,32.0,54.0,-71.0,-32.0,-55.0,71.0,0.0,1.0,0.0,5.118,3.503,3.964,2.593,2.946,2.847
1.66,3.87,5.24,57.2,24.63,18.18,95.2,1.7,4.1,5.9,58.73,24.35,16.92,99.84,695290.0,91669.0,90690.0,79.2,10.4,10.3,1.05,0.75,0.8,-304344.0,501806.0,342578.0,-35.0,57.0,39.0,38.0,-58.0,-43.0,1.0,0.0,3.0,5.205,4.622,10.005,3.379,4.42,8.626
2.17,3.09,3.72,43.79,30.69,25.51,94.89,2.2,3.3,4.0,45.11,30.08,24.81,99.24,775443.0,223146.0,91407.0,71.1,20.5,8.4,0.9,0.25,0.95,-615979.0,353614.0,724368.0,-57.0,32.0,66.0,62.0,-33.0,-67.0,0.0,1.0,0.0,6.034,3.783,10.058,2.892,2.75,4.905
1.64,3.79,5.62,58.04,25.06,16.9,94.93,1.67,4.0,6.8,60.13,25.1,14.77,100.42,2572508.0,341824.0,545425.0,74.4,9.9,15.8,1.025,0.75,0.825,-836331.0,2092461.0,-249133.0,-24.0,60.0,-7.0,28.0,-61.0,-7.0,0.0,2.0,0.0,3.835,8.512,12.815,4.13,3.339,7.926
2.31,3.46,3.03,41.14,27.49,31.38,94.98,2.4,3.65,3.2,41.54,27.31,31.15,99.7,824888.0,222839.0,376688.0,57.9,15.6,26.4,1.05,0.25,0.8,-555316.0,611053.0,219013.0,-39.0,43.0,15.0,41.0,-43.0,-16.0,3.0,2.0,3.0,4.633,3.731,5.537,3.06,3.925,3.999
3.46,3.26,2.18,27.41,29.08,43.52,94.87,3.75,3.45,2.24,26.59,28.9,44.51,99.71,158170.0,178748.0,1417316.0,9.0,10.2,80.8,0.95,-0.25,0.9,1161097.0,1137553.0,-1420554.0,66.0,65.0,-81.0,-67.0,-65.0,86.0,0.0,1.0,0.0,9.016,4.4,5.262,4.879,3.656,3.358
2.01,3.45,3.8,47.42,27.57,25.01,95.14,2.02,3.7,4.3,49.61,27.08,23.31,100.21,470360.0,121416.0,104727.0,67.5,17.4,15.0,1.025,0.5,0.825,-253624.0,247264.0,246177.0,-36.0,36.0,35.0,42.0,-37.0,-40.0,1.0,5.0,0.0,4.345,3.767,6.672,3.665,3.193,6.942
2.15,3.02,3.93,44.23,31.57,24.2,95.18,2.24,3.1,4.3,44.57,32.21,23.22,99.84,674338.0,153965.0,54074.0,76.4,17.4,6.1,0.95,0.25,0.9,-628140.0,405086.0,649859.0,-71.0,46.0,74.0,73.0,-45.0,-75.0,1.0,0.0,3.0,4.769,2.704,8.509,3.858,2.807,5.205
1.76,3.56,4.93,54.0,26.71,19.29,95.17,1.81,3.7,5.6,55.18,26.99,17.83,99.88,1513927.0,87318.0,118341.0,88.0,5.1,6.9,0.825,0.5,1.025,-1020622.0,1396509.0,1056877.0,-59.0,81.0,61.0,63.0,-81.0,-64.0,3.0,3.0,1.0,3.479,4.886,9.815,3.221,2.639,4.882
5.52,3.21,1.79,17.22,29.6,53.18,95.09,6.2,3.35,1.85,16.12,29.84,54.04,99.94,303919.0,402211.0,2363099.0,9.9,13.1,77.0,0.85,-0.5,1.0,1184931.0,1721822.0,-1302504.0,39.0,56.0,-42.0,-43.0,-56.0,45.0,0.0,2.0,0.0,9.196,6.248,5.266,8.775,3.077,2.802
1.25,6.32,10.72,76.1,15.03,8.86,94.98,1.27,7.2,13.0,78.49,13.84,7.67,99.68,9754664.0,318232.0,284417.0,94.2,3.1,2.7,1.075,2.0,0.775,-2031110.0,8066043.0,6659892.0,-20.0,78.0,64.0,24.0,-80.0,-69.0,1.0,0.0,3.0,2.403,12.469,23.029,3.124,5.973,9.569
3.51,3.71,2.02,27.13,25.65,47.22,95.12,3.75,4.1,2.02,26.52,24.25,49.23,99.45,135310.0,133705.0,1604612.0,7.2,7.1,85.6,1.025,-0.5,0.825,1366215.0,1325437.0,-1367689.0,73.0,71.0,-73.0,-73.0,-72.0,81.0,2.0,6.0,0.0,12.219,4.926,4.557,4.042,3.963,2.678
2.22,3.3,3.35,42.79,28.84,28.37,95.15,2.3,3.45,3.7,43.7,29.13,27.17,100.51,922379.0,236568.0,222733.0,66.8,17.1,16.1,0.975,0.25,0.875,-739792.0,565520.0,557568.0,-54.0,41.0,40.0,56.0,-41.0,-43.0,0.0,0.0,1.0,4.994,3.802,6.64,4.204,2.634,5.594
2.14,3.3,3.57,44.49,28.84,26.67,95.18,2.24,3.45,3.85,44.82,29.1,26.08,100.4,731038.0,227479.0,241166.0,60.9,19.0,20.1,0.95,0.25,0.9,-437842.0,414880.0,271194.0,-37.0,35.0,23.0,37.0,-34.0,-25.0,2.0,2.0,1.0,2.451,3.039,7.013,3.044,2.373,6.608
1.09,10.66,23.0,86.97,8.9,4.13,94.94,1.12,13.0,34.0,89.36,7.7,2.94,100.08,10565870.0,185888.0,97813.0,97.4,1.7,0.9,0.825,3.0,1.025,-984204.0,8433030.0,7523932.0,-9.0,78.0,69.0,12.0,-81.0,-78.0,2.0,2.0,1.0,1.729,18.239,32.27,2.079,10.754,20.451
1.85,3.35,4.73,51.4,28.45,20.15,95.31,1.9,3.55,5.3,52.81,28.26,18.93,100.34,2185739.0,342303.0,170488.0,81.0,12.7,6.3,0.9,0.5,0.95,-1454374.0,1483354.0,1794944.0,-54.0,55.0,67.0,58.0,-55.0,-69.0,1.0,0.0,3.0,3.369,3.161,9.56,3.229,2.349,7.364
1.62,3.95,5.53,58.73,24.08,17.19,95.11,1.67,4.1,6.4,59.94,24.42,15.64,100.1,1903765.0,287236.0,225900.0,78.8,11.9,9.3,1.025,0.75,0.825,-762387.0,1239234.0,971141.0,-32.0,51.0,40.0,34.0,-51.0,-46.0,2.0,2.0,1.0,5.271,5.759,12.839,2.008,3.333,6.413
1.2,6.67,15.34,79.52,14.27,6.21,95.23,1.23,7.6,20.0,81.74,13.23,5.03,100.54,6866156.0,330265.0,114672.0,93.9,4.5,1.6,1.05,2.25,0.8,-1134279.0,4801079.0,5017653.0,-16.0,66.0,69.0,18.0,-68.0,-75.0,3.0,0.0,3.0,2.369,10.758,19.34,1.863,8.285,16.987
2.2,3.29,3.41,43.22,28.91,27.88,95.14,2.28,3.5,3.65,43.94,28.62,27.44,100.18,1298640.0,322170.0,428920.0,63.4,15.7,20.9,1.025,0.25,0.825,-911169.0,922135.0,484172.0,-44.0,45.0,24.0,47.0,-46.0,-25.0,0.0,3.0,0.0,4.099,3.819,7.438,2.324,2.222,4.615
11.89,5.9,1.25,7.98,16.09,75.93,94.91,15.5,6.8,1.27,6.46,14.72,78.82,100.13,120216.0,205822.0,5500489.0,2.1,3.5,94.4,1.075,-2.0,0.775,3963179.0,4426938.0,-1159094.0,68.0,76.0,-20.0,-74.0,-78.0,24.0,2.0,1.0,3.0,10.711,11.138,2.555,11.623,8.114,1.899
4.06,4.14,1.77,23.42,22.95,53.63,95.03,4.4,4.3,1.83,22.59,23.11,54.3,99.4,673482.0,246233.0,2634044.0,19.0,6.9,74.1,0.825,-0.5,1.025,590438.0,2494957.0,-1266542.0,17.0,70.0,-36.0,-19.0,-70.0,38.0,3.0,0.0,3.0,10.092,7.849,3.751,3.508,3.93,2.742
1.66,4.04,4.94,57.21,23.54,19.25,95.18,1.71,4.5,5.4,58.94,22.4,18.66,100.79,753910.0,65631.0,115399.0,80.6,7.0,12.3,1.075,0.75,0.775,-354246.0,639601.0,311785.0,-38.0,68.0,33.0,41.0,-70.0,-36.0,1.0,1.0,1.0,2.738,5.676,7.871,2.753,4.132,7.237
2.03,3.58,3.56,46.75,26.54,26.71,95.05,2.08,3.85,3.9,48.23,26.05,25.72,100.32,1422863.0,238196.0,213456.0,75.9,12.7,11.4,1.075,0.5,0.775,-1085040.0,957460.0,1042037.0,-58.0,51.0,56.0,62.0,-52.0,-57.0,2.0,1.0,3.0,5.539,5.167,9.082,2.27,3.758,5.215
2.88,2.95,2.72,32.93,32.18,34.88,94.9,3.0,3.2,2.86,33.48,31.39,35.12,100.44,435581.0,303020.0,431027.0,37.2,25.9,36.9,0.975,0.0,0.875,-137115.0,199964.0,-63109.0,-12.0,17.0,-5.0,13.0,-19.0,6.0,1.0,1.0,1.0,7.859,3.826,8.387,2.969,2.797,3.34
2.5,3.22,2.91,37.89,29.46,32.65,94.84,2.66,3.4,3.0,37.47,29.31,33.22,99.67,686694.0,285279.0,383038.0,50.7,21.1,28.3,0.875,0.0,0.975,-471595.0,385062.0,205897.0,-35.0,28.0,15.0,34.0,-29.0,-13.0,0.0,1.0,0.0,3.942,4.525,5.079,2.517,2.818,3.573
3.11,3.25,2.38,30.62,29.3,40.08,95.3,3.35,3.4,2.42,29.68,29.24,41.08,99.43,518770.0,421993.0,1011373.0,26.6,21.6,51.8,1.075,-0.25,0.775,214257.0,517360.0,-495387.0,11.0,26.0,-25.0,-13.0,-26.0,29.0,2.0,2.0,1.0,6.761,4.088,6.73,8.023,3.231,6.245
2.41,3.27,3.03,39.51,29.07,31.41,95.12,2.52,3.4,3.15,39.35,29.17,31.48,99.16,831208.0,234207.0,460843.0,54.5,15.3,30.2,0.775,0.0,1.075,-568386.0,729954.0,74603.0,-37.0,48.0,5.0,38.0,-47.0,-4.0,0.0,1.0,0.0,2.897,4.575,5.346,3.736,3.949,3.122
1.19,7.07,14.51,79.95,13.48,6.57,95.34,1.22,8.0,17.0,81.68,12.46,5.86,99.65,5315716.0,154053.0,53092.0,96.2,2.8,1.0,1.1,2.5,0.75,-962313.0,4290437.0,4620297.0,-17.0,78.0,84.0,20.0,-79.0,-85.0,1.0,1.0,1.0,2.255,11.758,19.227,2.679,11.772,20.235
3.18,3.5,2.22,29.93,27.17,42.9,95.18,3.3,3.7,2.36,30.39,27.11,42.5,100.29,400519.0,225645.0,1052664.0,23.9,13.4,62.7,1.025,-0.25,0.825,357115.0,843942.0,-805459.0,21.0,50.0,-48.0,-20.0,-51.0,46.0,1.0,3.0,0.0,5.934,3.804,4.605,4.295,3.886,2.502
2.18,3.29,3.45,43.55,28.88,27.57,95.02,2.26,3.4,3.75,44.1,29.32,26.58,99.67,5070235.0,996518.0,1286674.0,69.0,13.6,17.5,0.95,0.25,0.9,-4105304.0,3965266.0,2528400.0,-56.0,54.0,34.0,58.0,-53.0,-37.0,0.0,0.0,1.0,7.375,3.932,12.709,3.596,2.075,5.186
2.59,3.18,2.85,36.71,29.94,33.35,95.03,2.74,3.3,2.98,36.37,30.2,33.44,99.65,652819.0,319898.0,329361.0,50.1,24.6,25.3,0.875,0.0,0.975,-486646.0,246415.0,320582.0,-37.0,19.0,25.0,37.0,-18.0,-24.0,1.0,1.0,1.0,4.432,4.575,5.348,6.662,1.992,5.622
1.49,4.23,7.01,63.9,22.52,13.57,95.17,1.55,4.5,8.0,65.01,22.39,12.6,100.77,1563161.0,194989.0,143975.0,82.2,10.3,7.6,1.1,1.0,0.75,-520775.0,1024675.0,750325.0,-27.0,54.0,39.0,29.0,-54.0,-44.0,0.0,1.0,0.0,2.801,4.273,9.514,2.67,4.032,7.777
2.14,3.51,3.33,44.41,27.06,28.53,95.04,2.18,3.75,3.6,45.73,26.58,27.69,99.69,2015997.0,178441.0,250007.0,82.5,7.3,10.2,0.95,0.25,0.9,-1950429.0,1775291.0,1544420.0,-80.0,73.0,63.0,86.0,-73.0,-64.0,2.0,1.0,3.0,3.309,5.031,5.696,4.29,3.078,4.538
1.78,3.5,4.97,53.65,27.18,19.17,95.23,1.81,3.7,5.7,55.35,27.08,17.58,100.18,5195881.0,388072.0,385638.0,87.0,6.5,6.5,0.825,0.5,1.025,-3434954.0,4533725.0,3771455.0,-58.0,76.0,63.0,62.0,-76.0,-66.0,1.0,0.0,3.0,3.769,3.202,9.468,3.395,3.358,8.823
2.25,3.23,3.36,42.26,29.46,28.28,95.01,2.38,3.3,3.65,42.14,30.39,27.47,100.29,1119272.0,314284.0,381420.0,61.7,17.3,21.0,1.1,0.25,0.75,-848892.0,777839.0,422793.0,-47.0,43.0,23.0,46.0,-41.0,-26.0,1.0,1.0,1.0,6.08,4.059,10.096,4.177,2.57,5.736
2.05,3.31,3.85,46.46,28.78,24.76,95.33,2.08,3.45,4.4,48.18,29.05,22.78,100.21,2024239.0,277866.0,245734.0,79.4,10.9,9.6,1.075,0.5,0.775,-1662578.0,1589201.0,1466609.0,-65.0,62.0,58.0,71.0,-62.0,-61.0,1.0,3.0,0.0,3.155,3.48,5.674,2.826,3.362,5.568
2.24,3.19,3.42,42.42,29.76,27.82,95.05,2.32,3.35,3.75,43.27,29.96,26.77,100.39,551805.0,269890.0,160714.0,56.2,27.5,16.4,1.0,0.25,0.85,-297779.0,78278.0,379732.0,-30.0,8.0,39.0,32.0,-8.0,-41.0,2.0,3.0,0.0,4.678,4.845,8.147,3.035,2.543,5.314
1.71,3.78,4.96,55.67,25.15,19.18,95.16,1.75,3.95,5.6,56.96,25.24,17.8,99.68,495807.0,45630.0,53965.0,83.3,7.7,9.1,0.75,0.5,1.1,-272260.0,415164.0,293198.0,-46.0,70.0,49.0,50.0,-70.0,-53.0,0.0,1.0,0.0,2.488,2.867,9.066,2.002,3.201,6.776
9.01,5.15,1.34,10.56,18.47,70.98,95.17,10.5,5.7,1.38,9.57,17.63,72.8,100.48,187784.0,227976.0,2045451.0,7.6,9.3,83.1,0.95,-1.25,0.9,489479.0,1161748.0,-361511.0,20.0,47.0,-15.0,-28.0,-50.0,17.0,1.0,0.0,3.0,9.436,6.495,2.992,7.608,5.329,1.903
